site,name,year,month,day,tmin,tmax,date,working,demand,area_string
NC,Northcote,2015,09,30,9.1,16.1,2015-09-30,Weekday,19.17849609,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,30,9.1,16.1,2015-09-30,Weekday,11.65193457,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,01,2.7,22.4,2015-10-01,Weekday,16.42604492,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,01,2.7,22.4,2015-10-01,Weekday,16.44705859,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,01,2.7,22.4,2015-10-01,Weekday,11.81439746,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,02,6.8,27,2015-10-02,Weekday,16.00761621,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,02,6.8,27,2015-10-02,Weekday,14.30121875,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,02,6.8,27,2015-10-02,Weekday,8.283617188,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,03,12.2,30.6,2015-10-03,Weekend,16.53327539,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,03,12.2,30.6,2015-10-03,Weekend,14.33942285,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,03,12.2,30.6,2015-10-03,Weekend,7.424343262000001,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,04,14.8,29.1,2015-10-04,Weekend,15.97832813,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,04,14.8,29.1,2015-10-04,Weekend,14.9842793,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,04,14.8,29.1,2015-10-04,Weekend,7.531133789,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,05,11.1,33.5,2015-10-05,Weekday,19.41589258,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
